17        0.317410    0.481491    0.846111  0.804517      00:19     
18        0.323149    0.463442    0.851944  0.805119      00:19     
19        0.342182    0.461111    0.844722  0.807308      00:18     
0         0.543534    0.451999    0.827500  0.773935      00:19     
1         0.514556    0.451954    0.823889  0.786244      00:19     
2         0.490172    0.433608    0.840833  0.794403      00:19     
3         0.529179    0.435311    0.841944  0.797293      00:17     
4         0.496377    0.427935    0.848889  0.804457      00:18     
5         0.470875    0.446950    0.825556  0.795039      00:18     
6         0.421187    0.456197    0.826389  0.795015      00:19     
7         0.423070    0.427155    0.852778  0.804716      00:18     
8         0.419256    0.451646    0.848333  0.807882      00:18     
9         0.391892    0.456354    0.845556  0.808935      00:19     
10        0.409260    0.457972    0.842222  0.803324      00:18     
11        0.356691    0.465425    0.838611  0.803118      00:19     
12        0.351970    0.464687    0.847778  0.809192      00:19     
13        0.339271    0.460407    0.845278  0.805585      00:18     
14        0.331355    0.457260    0.847778  0.807989      00:18     
15        0.339713    0.463400    0.846944  0.810066      00:18     
16        0.325668    0.466858    0.851667  0.807914      00:19     
17        0.322071    0.476799    0.847222  0.807153      00:19     
18        0.328117    0.471624    0.850556  0.805776      00:19     
19        0.337587    0.466552    0.843056  0.807101      00:18     
0         0.544599    0.458245    0.822222  0.779005      00:18     
1         0.516482    0.452872    0.826667  0.788761      00:19     
2         0.492464    0.431200    0.846389  0.803692      00:19     
3         0.527710    0.430301    0.843889  0.799715      00:17     
4         0.494342    0.454437    0.824722  0.793047      00:18     
5         0.472041    0.465369    0.817222  0.790978      00:18     
6         0.416940    0.485417    0.806389  0.782798      00:19     
7         0.421112    0.437824    0.845556  0.804638      00:18     
8         0.416458    0.455532    0.851667  0.807220      00:18     
9         0.397909    0.461768    0.843611  0.807126      00:19     
10        0.404079    0.467732    0.837222  0.802027      00:18     
11        0.361836    0.449559    0.849444  0.808886      00:19     
12        0.349178    0.464028    0.841667  0.802495      00:19     
13        0.333479    0.456606    0.846389  0.806576      00:18     
14        0.328994    0.461904    0.844444  0.803784      00:19     
15        0.329171    0.469067    0.846389  0.805213      00:18     
16        0.321744    0.478636    0.846389  0.802571      00:19     
17        0.310889    0.485147    0.849722  0.805745      00:19     
18        0.327670    0.473847    0.852778  0.806287      00:20     
19        0.340147    0.468494    0.840278  0.802473      00:17     
0         0.545645    0.455157    0.822778  0.769675      00:18     
1         0.518851    0.444632    0.834722  0.787576      00:19     
