0         5.598446    5.517387    0.298736  20:29     
0         0.544360    0.465926    0.805556  0.766043      00:18     
1         0.517366    0.458567    0.815000  0.781782      00:18     
2         0.489381    0.436024    0.842222  0.800000      00:18     
3         0.525241    0.462261    0.847778  0.795064      00:17     
4         0.489917    0.441421    0.836111  0.800000      00:17     
5         0.474299    0.435129    0.843611  0.802664      00:17     
6         0.422094    0.460736    0.826389  0.796085      00:19     
7         0.421077    0.437338    0.845278  0.801142      00:18     
8         0.416886    0.461453    0.840556  0.807253      00:17     
9         0.390691    0.465752    0.842222  0.804408      00:19     
10        0.408111    0.451178    0.849167  0.805307      00:17     
11        0.356915    0.460791    0.841389  0.799438      00:18     
12        0.343544    0.479271    0.851111  0.808708      00:18     
13        0.339013    0.455681    0.850556  0.807720      00:18     
14        0.326534    0.467692    0.848611  0.805981      00:18     
15        0.337914    0.475628    0.845556  0.802697      00:18     
16        0.318729    0.482637    0.850000  0.804064      00:18     
17        0.313240    0.491185    0.850833  0.802791      00:19     
18        0.322659    0.479405    0.852500  0.804420      00:19     
19        0.337540    0.463010    0.844444  0.804469      00:17     
0         0.547056    0.460783    0.813333  0.766505      00:18     
1         0.519793    0.462276    0.811111  0.779507      00:18     
2         0.493077    0.443068    0.837222  0.799452      00:19     
3         0.529141    0.433472    0.848889  0.801749      00:17     
4         0.493387    0.450053    0.830278  0.796265      00:17     
5         0.475560    0.434090    0.847778  0.806497      00:17     
6         0.418421    0.513834    0.801111  0.777086      00:19     
7         0.421313    0.436236    0.843333  0.795356      00:17     
8         0.421178    0.455932    0.851944  0.809166      00:18     
9         0.388988    0.471278    0.838056  0.801227      00:18     
10        0.407138    0.467199    0.838611  0.800823      00:17     
11        0.359296    0.446764    0.841111  0.801113      00:18     
12        0.348298    0.467521    0.843611  0.804853      00:18     
13        0.336983    0.458580    0.839167  0.797198      00:18     
14        0.336348    0.458025    0.843889  0.803083      00:18     
15        0.336990    0.465555    0.842222  0.800000      00:17     
16        0.321219    0.476134    0.847222  0.803009      00:18     
17        0.318401    0.492147    0.845833  0.801147      00:19     
18        0.330600    0.479189    0.852500  0.803987      00:19     
19        0.345420    0.464144    0.840278  0.800278      00:17     
0         0.545159    0.460618    0.810556  0.767869      00:18     
1         0.518328    0.449995    0.827500  0.786083      00:18     
2         0.494196    0.440573    0.834167  0.793354      00:18     
3         0.525362    0.435815    0.848333  0.804861      00:17     
4         0.495546    0.458786    0.813333  0.783086      00:17     
5         0.474102    0.441671    0.839444  0.804598      00:18     
6         0.420816    0.445395    0.831944  0.797320      00:19     
7         0.421362    0.449321    0.845000  0.802966      00:17     
8         0.423329    0.457735    0.851389  0.803381      00:17     
9         0.392708    0.473359    0.833889  0.797700      00:18     
10        0.410348    0.463595    0.840000  0.797611      00:17     
11        0.356620    0.455776    0.837222  0.797792      00:18     
12        0.348579    0.459146    0.844167  0.801837      00:18     
13        0.340563    0.457808    0.846111  0.800863      00:18     
14        0.338816    0.451948    0.849722  0.805884      00:18     
15        0.340235    0.454612    0.846667  0.804255      00:17     
16        0.322639    0.467444    0.845000  0.800572      00:19     
17        0.318626    0.475814    0.845278  0.803111      00:18     
18        0.324869    0.473082    0.850556  0.801622      00:19     
19        0.337892    0.462475    0.843056  0.803341      00:17     
0         0.545973    0.465336    0.809444  0.770722      00:18     
1         0.522360    0.452595    0.821389  0.780621      00:18     
2         0.492870    0.433782    0.841944  0.797437      00:18     
3         0.531884    0.435822    0.843889  0.794890      00:17     
4         0.491256    0.459485    0.821667  0.790879      00:17     
5         0.474165    0.446482    0.835833  0.800270      00:17     
6         0.422868    0.453694    0.838611  0.803782      00:19     
7         0.419619    0.451884    0.838333  0.800548      00:18     
8         0.419500    0.454579    0.849167  0.808466      00:17     
9         0.394567    0.459723    0.842222  0.806540      00:18     
10        0.410996    0.468165    0.826944  0.794728      00:17     
11        0.355945    0.450882    0.852222  0.811615      00:18     
12        0.345129    0.469229    0.847222  0.809160      00:18     
13        0.341832    0.457827    0.841111  0.803166      00:18     
14        0.333772    0.457214    0.854167  0.811760      00:18     
15        0.340987    0.458003    0.846667  0.807531      00:18     
16        0.330386    0.468384    0.850556  0.807307      00:18     
17        0.319725    0.471863    0.850833  0.809236      00:19     
18        0.330145    0.471020    0.855833  0.808981      00:19     
19        0.343290    0.462202    0.841389  0.803713      00:17     
0         0.544388    0.463489    0.809444  0.765229      00:18     
1         0.517840    0.452383    0.819167  0.783361      00:18     
2         0.498226    0.443808    0.836389  0.793840      00:18     
3         0.527210    0.436883    0.839444  0.797477      00:17     
4         0.498018    0.445616    0.831111  0.798409      00:17     
5         0.478087    0.452630    0.824722  0.795991      00:17     
6         0.424634    0.450097    0.832500  0.797990      00:19     
7         0.423680    0.432718    0.850833  0.805505      00:17     
8         0.422319    0.460051    0.837778  0.800000      00:17     
9         0.395675    0.471763    0.833056  0.798660      00:18     
10        0.419278    0.452887    0.844444  0.801418      00:17     
11        0.361923    0.450956    0.841389  0.798447      00:18     
12        0.352867    0.473543    0.840000  0.803279      00:18     
13        0.342155    0.464266    0.845556  0.802135      00:18     
14        0.334209    0.459570    0.841944  0.798155      00:18     
15        0.340157    0.463408    0.841944  0.799718      00:17     
16        0.316935    0.480041    0.845556  0.798112      00:18     
17        0.314664    0.483726    0.843333  0.799002      00:18     
18        0.329954    0.483256    0.850278  0.799255      00:19     
19        0.341463    0.464964    0.840278  0.799721      00:17     
0         0.547695    0.457475    0.822500  0.776339      00:18     
1         0.517433    0.458889    0.810833  0.778392      00:18     
2         0.490429    0.433761    0.844444  0.800570      00:18     
3         0.528072    0.437446    0.845556  0.803534      00:17     
4         0.495474    0.436289    0.840833  0.800696      00:17     
5         0.474204    0.450840    0.821944  0.791951      00:17     
6         0.421484    0.462959    0.826667  0.796212      00:19     
7         0.423502    0.440918    0.836111  0.798635      00:17     
8         0.414009    0.464016    0.847778  0.805674      00:17     
9         0.394000    0.456049    0.843056  0.806573      00:19     
10        0.396411    0.456375    0.848056  0.803308      00:17     
11        0.358516    0.457231    0.842500  0.800141      00:18     
12        0.345110    0.463714    0.845278  0.802971      00:18     
13        0.339609    0.459700    0.840833  0.796013      00:18     
14        0.330357    0.461692    0.840278  0.801929      00:18     
15        0.336313    0.471034    0.842778  0.804017      00:17     
16        0.328445    0.465642    0.847500  0.805388      00:18     
17        0.315803    0.480626    0.845000  0.801423      00:19     
18        0.324557    0.469227    0.852500  0.804420      00:19     
19        0.339733    0.469139    0.840833  0.805036      00:17     
0         0.547543    0.465527    0.811667  0.766368      00:18     
1         0.518417    0.459142    0.811944  0.779119      00:18     
2         0.490179    0.435115    0.839444  0.795035      00:18     
3         0.523482    0.441097    0.843056  0.800283      00:17     
4         0.497483    0.438887    0.833333  0.795640      00:17     
5         0.477086    0.451917    0.830000  0.798817      00:17     
6         0.428538    0.472610    0.816667  0.789541      00:19     
7         0.426432    0.437264    0.848889  0.802469      00:18     
8         0.424015    0.460356    0.850556  0.805072      00:17     
9         0.391483    0.458007    0.843333  0.808943      00:19     
10        0.411684    0.454028    0.845556  0.804775      00:17     
11        0.364063    0.453013    0.844444  0.801980      00:18     
12        0.349701    0.460536    0.850833  0.809101      00:18     
13        0.343143    0.458111    0.849167  0.807242      00:18     
14        0.329816    0.474429    0.852778  0.810579      00:18     
15        0.338432    0.461674    0.850833  0.809372      00:17     
16        0.325628    0.472184    0.851944  0.807651      00:18     
17        0.316116    0.486999    0.850000  0.808239      00:19     
18        0.327783    0.476136    0.854444  0.807069      00:19     
19        0.341618    0.461089    0.843889  0.804045      00:17     
0         0.544642    0.463556    0.807500  0.768305      00:18     
1         0.518660    0.459619    0.815278  0.781896      00:18     
2         0.493692    0.431615    0.842222  0.794501      00:18     
3         0.524332    0.436449    0.844722  0.799282      00:17     
4         0.493899    0.440146    0.837778  0.802836      00:17     
5         0.472668    0.442581    0.831944  0.798937      00:17     
6         0.422774    0.457400    0.829722  0.798023      00:19     
7         0.419859    0.434891    0.848056  0.806234      00:17     
8         0.417892    0.465044    0.852500  0.813357      00:17     
9         0.391388    0.460868    0.835833  0.801077      00:18     
10        0.401443    0.458580    0.847778  0.808123      00:17     
11        0.355674    0.449361    0.845833  0.805876      00:18     
12        0.348108    0.470756    0.838889  0.800687      00:18     
13        0.334601    0.451561    0.848056  0.806782      00:18     
14        0.327665    0.455881    0.851667  0.809558      00:18     
15        0.337931    0.466756    0.844722  0.806239      00:18     
16        0.321745    0.471912    0.848611  0.805843      00:18     
17        0.312222    0.481110    0.851111  0.806777      00:18     
18        0.329737    0.468105    0.853333  0.806735      00:19     
19        0.344538    0.461483    0.846667  0.808200      00:17     
0         0.542238    0.462597    0.815833  0.769872      00:18     
1         0.521118    0.448124    0.826389  0.787920      00:18     
2         0.490361    0.436038    0.836111  0.795848      00:18     
3         0.525792    0.447570    0.848056  0.807191      00:17     
4         0.488869    0.441708    0.833333  0.796472      00:17     
5         0.475555    0.438681    0.837500  0.802432      00:17     
6         0.425740    0.453589    0.825000  0.792079      00:19     
7         0.422334    0.433014    0.852500  0.803697      00:17     
8         0.419056    0.438847    0.845278  0.805449      00:17     
9         0.392854    0.461227    0.844722  0.805023      00:19     
10        0.398986    0.458424    0.833333  0.797707      00:17     
11        0.357076    0.472501    0.837500  0.800137      00:18     
12        0.354987    0.474756    0.839444  0.801919      00:18     
13        0.339040    0.466076    0.843056  0.800283      00:18     
14        0.331343    0.471283    0.842222  0.799859      00:18     
15        0.339632    0.459631    0.843333  0.801688      00:17     
16        0.324397    0.466297    0.842778  0.797713      00:19     
17        0.316233    0.483747    0.846944  0.800723      00:18     
18        0.326609    0.472825    0.850000  0.800591      00:19     
19        0.340792    0.465230    0.838889  0.799169      00:17     
0         0.544605    0.460262    0.813333  0.770648      00:18     
1         0.518796    0.461251    0.815000  0.779178      00:18     
2         0.490104    0.442114    0.836944  0.798628      00:18     
3         0.531850    0.438877    0.844722  0.799282      00:17     
4         0.494408    0.448990    0.823056  0.789838      00:17     
5         0.474556    0.445126    0.834167  0.799193      00:17     
6         0.422456    0.458365    0.829444  0.800649      00:19     
7         0.419087    0.441769    0.848333  0.800584      00:18     
8         0.423796    0.448447    0.846667  0.807800      00:17     
9         0.392735    0.463935    0.839444  0.801783      00:18     
10        0.411502    0.449583    0.848333  0.805417      00:17     
11        0.358555    0.453678    0.845278  0.802272      00:18     
12        0.351696    0.477252    0.834444  0.799327      00:18     
13        0.339853    0.452111    0.846667  0.804533      00:18     
14        0.330524    0.467949    0.849444  0.803338      00:18     
15        0.340616    0.472615    0.845000  0.803244      00:17     
16        0.328195    0.483459    0.853056  0.808125      00:19     
17        0.319920    0.496199    0.850000  0.803636      00:18     
18        0.329561    0.492135    0.850833  0.799102      00:19     
19        0.345948    0.464426    0.848333  0.806794      00:17     
0         0.544379    0.463431    0.811111  0.767601      00:18     
1         0.519308    0.463644    0.811111  0.782470      00:18     
2         0.491834    0.439534    0.844167  0.802951      00:18     
3         0.527772    0.435344    0.842778  0.796695      00:17     
4         0.491858    0.447125    0.839167  0.800000      00:17     
5         0.470440    0.434320    0.839167  0.800414      00:17     
6         0.422796    0.438427    0.839167  0.798889      00:19     
7         0.426787    0.435792    0.846667  0.800145      00:17     
8         0.420345    0.456995    0.852500  0.809609      00:17     
9         0.390721    0.447968    0.844444  0.802260      00:18     
10        0.402241    0.463085    0.836667  0.801083      00:17     
11        0.364212    0.448914    0.846667  0.803419      00:18     
12        0.347473    0.462297    0.850000  0.806313      00:18     
13        0.339385    0.460583    0.850278  0.804498      00:18     
14        0.333212    0.459946    0.847778  0.805398      00:18     
15        0.336869    0.467794    0.840556  0.800000      00:17     
16        0.331745    0.459131    0.850556  0.805072      00:19     
17        0.321938    0.471833    0.848889  0.803326      00:19     
18        0.327357    0.473254    0.851667  0.803097      00:19     
19        0.343695    0.461048    0.844167  0.803777      00:17     
0         0.545255    0.461978    0.810833  0.767815      00:18     
1         0.518695    0.469016    0.803889  0.775588      00:18     
2         0.490798    0.442450    0.840833  0.801661      00:18     
3         0.528019    0.442310    0.843611  0.790939      00:17     
4         0.491661    0.432778    0.847778  0.807584      00:17     
5         0.471892    0.438642    0.844722  0.807838      00:17     
6         0.420704    0.451118    0.830278  0.798416      00:19     
7         0.415951    0.436974    0.848611  0.796718      00:18     
8         0.421540    0.450735    0.852222  0.803109      00:17     
9         0.391691    0.454220    0.843056  0.804971      00:18     
10        0.408232    0.456911    0.845833  0.808687      00:17     
11        0.361858    0.445270    0.848056  0.805130      00:18     
12        0.343816    0.457827    0.844444  0.804742      00:18     
13        0.331507    0.453116    0.847222  0.802016      00:18     
14        0.329711    0.458351    0.841111  0.799439      00:18     
15        0.341326    0.472523    0.844167  0.801837      00:18     
16        0.325554    0.477173    0.844722  0.799713      00:18     
17        0.311542    0.489471    0.843889  0.801132      00:19     
18        0.324244    0.473013    0.850000  0.800443      00:19     
19        0.341948    0.463637    0.840556  0.801796      00:17     
0         0.545373    0.461405    0.814722  0.771026      00:18     
1         0.516197    0.459747    0.814167  0.781871      00:18     
2         0.493190    0.441881    0.836389  0.795130      00:18     
3         0.527911    0.434369    0.848889  0.801894      00:17     
4         0.494448    0.452288    0.818889  0.788312      00:17     
5         0.475986    0.441573    0.836944  0.804919      00:17     
6         0.423842    0.440108    0.843056  0.807364      00:19     
7         0.422278    0.433586    0.848333  0.800146      00:17     
8         0.419642    0.464159    0.846944  0.799709      00:17     
9         0.386255    0.472449    0.837500  0.803229      00:19     
10        0.405825    0.462640    0.840833  0.800139      00:17     
11        0.356991    0.450066    0.844167  0.801837      00:18     
12        0.343931    0.476946    0.846667  0.804533      00:18     
13        0.337830    0.457374    0.844722  0.802822      00:18     
14        0.327829    0.456018    0.845556  0.803949      00:18     
15        0.332602    0.462242    0.845833  0.803401      00:18     
16        0.320573    0.466877    0.848889  0.802038      00:18     
17        0.317902    0.471643    0.845000  0.801706      00:19     
18        0.326059    0.468926    0.851111  0.801334      00:19     
19        0.342298    0.461218    0.836389  0.797664      00:17     
0         0.544596    0.463212    0.809722  0.767086      00:18     
1         0.519840    0.465424    0.818889  0.786789      00:18     
2         0.491298    0.444320    0.829444  0.791014      00:18     
3         0.525474    0.438122    0.841111  0.790476      00:17     
4         0.496496    0.444041    0.829167  0.792720      00:17     
5         0.466403    0.444143    0.833056  0.799332      00:17     
6         0.428400    0.453239    0.827500  0.796327      00:19     
7         0.423557    0.436652    0.851667  0.807914      00:18     
8         0.417892    0.457529    0.846944  0.804124      00:17     
9         0.391941    0.455135    0.843333  0.802244      00:19     
10        0.408248    0.452388    0.841111  0.802350      00:17     
11        0.359933    0.446333    0.850000  0.806590      00:18     
12        0.350169    0.456806    0.847222  0.804131      00:18     
13        0.338135    0.463013    0.845000  0.799569      00:18     
14        0.330880    0.467709    0.840278  0.800693      00:18     
15        0.343156    0.466561    0.842222  0.798295      00:18     
16        0.324234    0.478621    0.850000  0.803493      00:19     
17        0.314749    0.490430    0.846389  0.799710      00:19     
18        0.331603    0.480951    0.851944  0.802373      00:19     
19        0.343104    0.466387    0.840556  0.799301      00:17     
0         0.546141    0.461397    0.816667  0.769553      00:18     
1         0.515188    0.453944    0.821389  0.783137      00:18     
2         0.494739    0.437093    0.846944  0.804817      00:18     
3         0.526575    0.442844    0.837778  0.793931      00:17     
4         0.492771    0.447456    0.826667  0.794737      00:17     
5         0.470045    0.461489    0.819722  0.790171      00:17     
6         0.418669    0.455746    0.830000  0.797217      00:19     
7         0.417508    0.449073    0.837222  0.800273      00:17     
8         0.419201    0.451219    0.851667  0.804825      00:17     
9         0.391470    0.464080    0.840000  0.800554      00:18     
10        0.415042    0.455410    0.841389  0.803847      00:17     
11        0.359038    0.463856    0.839444  0.801375      00:18     
12        0.345782    0.461095    0.843611  0.802109      00:18     
13        0.338692    0.450682    0.848611  0.806119      00:18     
14        0.328039    0.462115    0.842778  0.801821      00:18     
15        0.335110    0.474313    0.840000  0.801105      00:18     
16        0.319840    0.479421    0.848611  0.803036      00:18     
17        0.313083    0.493924    0.849167  0.804042      00:19     
18        0.324982    0.482234    0.855833  0.806991      00:19     
19        0.341310    0.467302    0.838889  0.799308      00:17     
0         0.545889    0.457646    0.820556  0.775226      00:18     
1         0.515740    0.453135    0.819722  0.781702      00:18     
2         0.493967    0.436189    0.846944  0.800723      00:18     
3         0.525668    0.436417    0.846111  0.798692      00:17     
4         0.496311    0.439841    0.832222  0.797587      00:17     
5         0.474579    0.441198    0.843056  0.805374      00:17     
6         0.420278    0.474513    0.814444  0.787802      00:19     
7         0.415785    0.439696    0.845556  0.806541      00:17     
8         0.425602    0.447884    0.848333  0.803879      00:17     
9         0.398359    0.457263    0.845833  0.812437      00:18     
10        0.419469    0.450087    0.847778  0.808392      00:17     
11        0.357227    0.452278    0.845278  0.803250      00:18     
12        0.347536    0.461250    0.848611  0.805288      00:18     
13        0.340633    0.462264    0.847500  0.807571      00:18     
14        0.336287    0.459571    0.848611  0.807216      00:18     
15        0.335090    0.461779    0.847222  0.807153      00:17     
16        0.331084    0.467891    0.852778  0.809490      00:18     
17        0.316580    0.477960    0.849167  0.806417      00:18     
18        0.332089    0.467761    0.854167  0.808184      00:19     
19        0.353811    0.459413    0.844444  0.805285      00:17     
0         0.546917    0.466543    0.805278  0.770990      00:18     
1         0.517861    0.462487    0.815833  0.779953      00:18     
2         0.493890    0.443521    0.835278  0.797956      00:18     
3         0.526417    0.439586    0.847778  0.800146      00:17     
4         0.492964    0.443221    0.830000  0.796678      00:17     
5         0.475032    0.452887    0.826111  0.796621      00:17     
6         0.422190    0.455685    0.830556  0.801044      00:19     
7         0.420159    0.440312    0.844722  0.804750      00:17     
8         0.418354    0.463932    0.845833  0.806283      00:17     
9         0.398941    0.446097    0.851667  0.810907      00:18     
10        0.407315    0.455930    0.841667  0.802495      00:17     
11        0.354256    0.461537    0.836944  0.798766      00:18     
12        0.345077    0.474675    0.846667  0.808333      00:18     
13        0.334340    0.457296    0.848611  0.808166      00:18     
14        0.323660    0.469215    0.846944  0.809408      00:18     
15        0.335339    0.473193    0.848056  0.807598      00:17     
16        0.322658    0.472895    0.849444  0.805036      00:18     
17        0.310788    0.479339    0.845833  0.804233      00:18     
18        0.331441    0.471616    0.852222  0.804124      00:19     
19        0.344100    0.465440    0.842500  0.804145      00:17     
0         0.545766    0.469234    0.804444  0.763282      00:18     
1         0.517017    0.467919    0.805000  0.778129      00:18     
2         0.494206    0.437796    0.835000  0.794321      00:18     
3         0.524831    0.445095    0.842222  0.799435      00:17     
4         0.491647    0.454182    0.820556  0.789987      00:17     
5         0.468431    0.442027    0.843611  0.805123      00:17     
6         0.418564    0.460294    0.823611  0.794299      00:18     
7         0.416686    0.435862    0.852778  0.808388      00:17     
8         0.421458    0.451907    0.846667  0.804947      00:17     
9         0.391448    0.458656    0.835833  0.801744      00:18     
10        0.406310    0.467466    0.846667  0.804394      00:17     
11        0.357142    0.457757    0.847500  0.800871      00:18     
12        0.348593    0.459563    0.848333  0.803172      00:18     
13        0.336347    0.456160    0.850000  0.806729      00:18     
14        0.327893    0.462036    0.850833  0.806207      00:18     
15        0.331873    0.464402    0.851389  0.807207      00:17     
16        0.317802    0.479998    0.848333  0.801310      00:19     
17        0.316810    0.492712    0.848611  0.802178      00:19     
18        0.321118    0.477574    0.853889  0.804024      00:19     
19        0.342383    0.460437    0.847778  0.807449      00:17     
0         0.547928    0.461190    0.809722  0.767244      00:18     
1         0.519722    0.468460    0.804167  0.773676      00:18     
2         0.493026    0.442836    0.833056  0.796202      00:18     
3         0.525442    0.436213    0.847222  0.793544      00:17     
4         0.491816    0.445461    0.835278  0.800940      00:17     
5         0.467641    0.434253    0.848056  0.811444      00:17     
6         0.422672    0.471783    0.824167  0.796267      00:19     
7         0.418962    0.429127    0.850000  0.805895      00:17     
8         0.420135    0.449541    0.851111  0.808298      00:17     
9         0.393974    0.472681    0.841944  0.806133      00:18     
10        0.407387    0.454623    0.841667  0.806649      00:17     
11        0.355648    0.468973    0.840000  0.800830      00:18     
12        0.345362    0.462626    0.848056  0.806234      00:18     
13        0.335243    0.462914    0.849444  0.806980      00:18     
14        0.329014    0.464922    0.850278  0.807569      00:18     
